machine_id,timestamp,temperature,vibration,pressure,humidity
1,2025-01-01 00:00:00,298.1,1.935,3.989,63.8
2,2025-01-01 01:00:00,298.2,4.759,3.663,31.07
3,2025-01-01 02:00:00,298.1,3.687,2.409,40.8
4,2025-01-01 03:00:00,298.2,3.033,5.858,59.8
5,2025-01-01 04:00:00,298.2,0.864,4.813,48.93
6,2025-01-01 05:00:00,298.1,0.864,7.926,64.31
7,2025-01-01 06:00:00,298.1,0.385,1.257,77.67
8,2025-01-01 07:00:00,298.1,4.344,6.151,26.99
9,2025-01-01 08:00:00,298.3,3.045,7.104,62.57
10,2025-01-01 09:00:00,298.5,3.57,7.076,33.82
11,2025-01-01 10:00:00,298.4,0.201,8.089,44.87
12,2025-01-01 11:00:00,298.6,4.853,6.832,21.97
13,2025-01-01 12:00:00,298.6,4.179,8.422,28.15
14,2025-01-01 13:00:00,298.6,1.14,3.661,39.19
15,2025-01-01 14:00:00,298.6,0.991,5.026,40.52
16,2025-01-01 15:00:00,298.6,0.999,1.113,73.98
17,2025-01-01 16:00:00,298.6,1.591,1.056,64.51
18,2025-01-01 17:00:00,298.7,2.671,2.921,78.33
19,2025-01-01 18:00:00,298.8,2.217,1.806,55.94
20,2025-01-01 19:00:00,298.9,1.527,3.082,34.5
21,2025-01-01 20:00:00,298.9,3.098,2.416,39.66
22,2025-01-01 21:00:00,298.8,0.784,1.228,39.19
23,2025-01-01 22:00:00,298.9,1.532,8.274,39.59
24,2025-01-01 23:00:00,299.0,1.895,1.066,60.38
25,2025-01-02 00:00:00,299.0,2.335,6.889,51.85
26,2025-01-02 01:00:00,299.0,3.947,2.217,43.13
27,2025-01-02 02:00:00,299.1,1.078,8.298,28.95
28,2025-01-02 03:00:00,299.1,2.62,8.142,21.33
29,2025-01-02 04:00:00,299.1,3.003,6.231,33.13
30,2025-01-02 05:00:00,299.0,0.328,6.378,26.45
31,2025-01-02 06:00:00,299.1,3.077,1.043,67.13
32,2025-01-02 07:00:00,299.0,0.936,8.879,26.75
33,2025-01-02 08:00:00,299.0,0.419,8.023,63.45
34,2025-01-02 09:00:00,298.9,4.75,8.161,43.14
35,2025-01-02 10:00:00,298.8,4.832,6.274,24.4
36,2025-01-02 11:00:00,298.8,4.061,3.758,68.76
37,2025-01-02 12:00:00,298.9,1.593,8.149,54.78
38,2025-01-02 13:00:00,298.8,0.579,3.332,34.15
39,2025-01-02 14:00:00,298.9,3.453,5.502,73.68
40,2025-01-02 15:00:00,298.8,2.257,1.798,22.72
41,2025-01-02 16:00:00,298.8,0.698,8.376,32.11
42,2025-01-02 17:00:00,298.8,2.526,2.126,65.12
43,2025-01-02 18:00:00,298.8,0.269,2.799,62.56
44,2025-01-02 19:00:00,298.8,4.556,5.465,37.36
45,2025-01-02 20:00:00,298.8,1.368,7.113,23.72
46,2025-01-02 21:00:00,298.8,3.346,5.955,71.48
47,2025-01-02 22:00:00,298.7,1.627,2.857,38.82
48,2025-01-02 23:00:00,298.8,2.648,1.008,31.74
49,2025-01-03 00:00:00,298.8,2.779,7.057,50.96
50,2025-01-03 01:00:00,298.9,1.006,8.882,74.61
51,2025-01-03 02:00:00,298.9,4.851,7.479,22.61
52,2025-01-03 03:00:00,298.9,3.898,4.682,65.95
53,2025-01-03 04:00:00,298.8,4.704,8.23,54.35
54,2025-01-03 05:00:00,298.7,4.485,4.279,45.53
55,2025-01-03 06:00:00,298.7,3.03,5.199,64.64
56,2025-01-03 07:00:00,298.8,4.617,4.817,77.95
57,2025-01-03 08:00:00,298.8,0.534,4.581,33.75
58,2025-01-03 09:00:00,298.8,1.06,7.202,28.62
59,2025-01-03 10:00:00,298.8,0.322,5.214,74.77
60,2025-01-03 11:00:00,298.8,1.694,3.534,60.14
61,2025-01-03 12:00:00,298.8,2.005,3.065,46.28
62,2025-01-03 13:00:00,298.8,1.43,1.302,54.4
63,2025-01-03 14:00:00,298.8,4.161,5.666,64.74
64,2025-01-03 15:00:00,298.9,1.848,2.84,66.38
65,2025-01-03 16:00:00,299.0,1.477,2.185,75.19
66,2025-01-03 17:00:00,299.0,2.759,6.231,45.61
67,2025-01-03 18:00:00,298.9,0.791,6.45,37.6
68,2025-01-03 19:00:00,298.8,4.031,7.017,58.38
69,2025-01-03 20:00:00,298.8,0.465,5.029,44.94
70,2025-01-03 21:00:00,298.9,4.936,8.152,55.68
71,2025-01-03 22:00:00,298.9,3.884,8.491,45.2
72,2025-01-03 23:00:00,298.9,1.074,7.459,29.18
73,2025-01-04 00:00:00,298.9,0.127,6.085,48.17
74,2025-01-04 01:00:00,299.0,4.096,3.43,61.46
75,2025-01-04 02:00:00,298.9,3.564,8.864,67.96
76,2025-01-04 03:00:00,298.8,3.672,3.193,49.6
77,2025-01-04 04:00:00,298.8,3.879,2.621,29.91
78,2025-01-04 05:00:00,298.8,0.463,4.537,44.88
79,2025-01-04 06:00:00,298.8,1.856,1.455,67.18
80,2025-01-04 07:00:00,298.8,0.668,8.828,44.77
81,2025-01-04 08:00:00,298.8,4.329,5.707,61.79
82,2025-01-04 09:00:00,298.9,3.154,5.456,50.43
83,2025-01-04 10:00:00,298.9,1.721,6.246,34.47
84,2025-01-04 11:00:00,299.0,0.411,4.976,67.77
85,2025-01-04 12:00:00,298.9,1.624,1.257,25.05
86,2025-01-04 13:00:00,299.0,1.693,5.898,51.49
87,2025-01-04 14:00:00,299.0,3.675,6.729,32.53
88,2025-01-04 15:00:00,299.0,3.224,4.334,24.02
89,2025-01-04 16:00:00,299.0,4.447,7.058,50.18
90,2025-01-04 17:00:00,298.9,2.414,2.816,49.97
91,2025-01-04 18:00:00,298.9,0.686,2.77,62.41
92,2025-01-04 19:00:00,298.9,3.595,2.291,64.69
93,2025-01-04 20:00:00,298.9,3.828,3.976,63.67
94,2025-01-04 21:00:00,299.1,2.85,7.776,44.57
